Numbers,NAME,pl_orbper,pl_semi_min,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radius_au,pl_radj,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_radius,st_sun_rad,size_star_planet,j_rad,sun_rad
80,HATS-30 b,3.1743516,0.043338903,0.04354,0.096,0.706,0.00056153,1.175,0.543,339,12.192,5943,1.09,0.004929496,1.06,8.778739557,0.000477895,0.004650468
169,HAT-P-37 b,2.797436,0.037836198,0.0379,0.058,1.169,0.00056296,1.178,0.89,411,13.23,5500,0.93,0.004092412,0.88,7.269449901,0.000477895,0.004650468
161,WASP-41 b,3.052404,0.039986478,0.04,0.026,0.94,0.00056392,1.18,0.74,180,11.6,5545,0.93,0.004045907,0.87,7.174661426,0.000477895,0.004650468
101,HAT-P-55 b,3.5852467,0.045593061,0.04604,0.139,0.582,0.00056487,1.182,0.435,480,13.207,5808,1.01,0.004696973,1.01,8.315111236,0.000477895,0.004650468
167,HAT-P-25 b,3.652836,0.046576135,0.0466,0.032,0.567,0.00056870,1.19,0.42,297,13.19,5500,1.01,0.004464449,0.96,7.85033948,0.000477895,0.004650468
188,K2-29 b,3.2588321,0.042078054,0.04217,0.066,0.73,0.00056870,1.19,0.53,185,12.526,5358,0.94,0.003999402,0.86,7.032595784,0.000477895,0.004650468
160,Kepler-423 b,2.6843285,0.035843528,0.03585,0.019,0.595,0.00056965,1.192,0.459,725,14.29,5560,0.85,0.004417945,0.95,7.755530605,0.000477895,0.004650468
173,HATS-28 b,3.1810781,0.040458416,0.04131,0.202,0.672,0.00057061,1.194,0.48,521,13.934,5498,0.93,0.00427843,0.92,7.498038511,0.000477895,0.004650468
115,XO-1 b,3.94150685,0.049,0.049,0,0.92,0.00057825,1.21,0.64,172,11.19,5750,1.03,0.00437144,0.94,7.559736349,0.000477895,0.004650468
89,WASP-141 b,3.310651,0.0469,0.0469,0,2.69,0.00057825,1.21,1.98,570,12.4,5900,1.25,0.006371141,1.37,11.01791361,0.000477895,0.004650468
123,WASP-133 b,2.176423,0.03399782,0.0345,0.17,1.16,0.00057825,1.21,0.88,547,12.9,5700,1.16,0.006696674,1.44,11.5808727,0.000477895,0.004650468
168,WASP-77 A b,1.3600309,0.024,0.024,0,1.76,0.00057825,1.21,1.33,93,10.3,5500,1,0.004417945,0.95,7.640159076,0.000477895,0.004650468
127,HAT-P-28 b,3.257215,0.043343522,0.0434,0.051,0.626,0.00057921,1.212,0.44,395,13.03,5680,1.02,0.005115515,1.1,8.831901798,0.000477895,0.004650468
162,HATS-13 b,3.0440499,0.039899909,0.04057,0.181,0.543,0.00057921,1.212,0.377,476,13.887,5523,0.96,0.004138916,0.89,7.145811454,0.000477895,0.004650468
51,WASP-28 b,3.40883,0.04469,0.04469,0,0.907,0.00057969,1.213,0.676,410,12.03,6150,1.02,0.00506901,1.09,8.744396932,0.000477895,0.004650468
70,WASP-131 b,5.322023,0.0607,0.0607,0,0.27,0.00058303,1.22,0.2,250,10.1,6030,1.06,0.007115216,1.53,12.20381924,0.000477895,0.004650468
126,WASP-34 b,4.3176782,0.052362154,0.0524,0.038,0.59,0.00058303,1.22,0.45,120,10.4,5700,1.01,0.004324935,0.93,7.418007772,0.000477895,0.004650468
