Numbers,NAME,pl_orbper,pl_semi_min,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radius_au,pl_radj,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_radius,st_sun_rad,size_star_planet,j_rad,sun_rad
121,KELT-14 b,1.7100566,0.03005,0.03005,0,1.284,0.00083297,1.743,0.322,266,11,5720,1.24,0.007068711,1.52,8.486143414,0.000477895,0.004650468
62,HATS-26 b,3.3023881,0.045906918,0.04735,0.245,0.65,0.00083632,1.75,0.153,907,12.955,6071,1.3,0.009486955,2.04,11.34374055,0.000477895,0.004650468
41,WASP-76 b,1.809886,0.033,0.033,0,0.92,0.00087455,1.83,0.201,120,9.5,6250,1.46,0.00804531,1.73,9.199393151,0.000477895,0.004650468
36,TrES-4 b,3.55392771,0.051593395,0.0516,0.016,0.494,0.00087837,1.838,0.099,492,11.592,6295,1.45,0.008417347,1.81,9.582906129,0.000477895,0.004650468
113,KELT-8 b,3.24406,0.045681994,0.04571,0.035,0.867,0.00088889,1.86,0.167,236,10.833,5754,1.21,0.007766281,1.67,8.737107778,0.000477895,0.004650468
13,WASP-121 b,1.2749255,0.02544,0.02544,0,1.183,0.00089127,1.865,0.243,270,10.44,6459,1.35,0.006789683,1.46,7.617951191,0.000477895,0.004650468
98,HAT-P-65 b,2.6054552,0.037640072,0.03951,0.304,0.527,0.00090322,1.89,0.096,841,13.145,5835,1.21,0.00864987,1.86,9.576687283,0.000477895,0.004650468
45,Kepler-435 b,8.6001536,0.094181975,0.0948,0.114,0.84,0.00095101,1.99,0.131,2070,13.643,6161,1.54,0.014928002,3.21,15.69698062,0.000477895,0.004650468
3,WASP-17 b,3.735438,0.051479808,0.0515,0.028,0.486,0.00095149,1.991,0.0817,400,11.6,6650,1.31,0.007301235,1.57,7.67348341,0.000477895,0.004650468
5,WASP-79 b,3.6623866,0.0535,0.0535,0,0.9,0.00099880,2.09,0.13,240,10.1,6600,1.38,0.007115216,1.53,7.123760512,0.000477895,0.004650468
